iter	Passed	Remaining
486	943	509
487	945	507
488	947	505
489	949	503
490	951	501
491	952	499
492	954	497
493	956	495
494	958	493
495	959	491
496	961	489
497	963	487
498	966	485
499	968	484
500	969	482
501	972	480
502	974	478
503	976	476
504	978	474
505	980	472
506	982	470
507	984	469
508	986	467
509	989	465
510	991	463
511	993	461
512	995	459
513	996	457
514	998	455
515	1001	453
516	1003	452
517	1005	450
518	1008	448
519	1010	446
520	1012	444
521	1014	443
522	1015	440
523	1017	438
524	1020	437
525	1022	435
526	1024	433
527	1026	431
528	1028	429
529	1030	427
530	1031	425
531	1033	423
532	1036	421
533	1038	420
534	1040	418
535	1042	416
536	1044	414
537	1045	412
538	1047	410
539	1049	408
540	1051	406
541	1053	404
542	1055	402
543	1056	400
544	1058	398
545	1060	396
546	1062	394
547	1063	392
548	1066	390
549	1068	388
550	1070	386
551	1072	384
552	1073	382
553	1075	380
554	1077	378
555	1079	376
556	1082	374
557	1084	373
558	1085	371
559	1087	369
560	1089	367
561	1091	365
562	1093	363
563	1095	361
564	1098	359
565	1100	357
566	1102	355
567	1104	353
568	1105	351
569	1107	349
570	1109	347
571	1112	346
572	1114	344
573	1115	341
574	1117	340
575	1119	338
576	1121	336
577	1123	334
578	1124	332
579	1127	330
580	1129	328
581	1131	326
582	1133	324
583	1134	322
584	1135	320
585	1137	318
586	1139	316
587	1141	314
588	1143	312
589	1146	310
590	1148	308
591	1149	306
592	1151	304
593	1153	302
594	1155	301
595	1157	299
596	1160	297
597	1162	295
598	1163	293
599	1165	291
600	1167	289
601	1168	287
602	1170	285
603	1172	283
604	1174	281
605	1176	279
606	1178	277
607	1180	275
608	1182	273
609	1183	271
610	1185	269
611	1187	267
612	1190	265
613	1192	264
614	1194	262
615	1196	260
616	1198	258
617	1199	256
618	1201	254
619	1203	252
620	1205	250
621	1207	248
622	1209	246
623	1211	244
624	1213	242
625	1214	240
626	1216	238
627	1219	236
628	1220	234
629	1222	232
630	1224	230
631	1226	228
632	1228	227
633	1230	225
634	1231	223
635	1234	221
636	1236	219
637	1238	217
638	1240	215
639	1241	213
640	1242	211
641	1244	209
642	1246	207
643	1247	205
644	1250	203
645	1252	201
646	1254	199
647	1256	197
648	1258	195
649	1260	193
650	1262	191
651	1264	190
652	1266	188
653	1268	186
654	1270	184
655	1272	182
656	1274	180
657	1275	178
658	1277	176
659	1280	174
660	1282	172
661	1284	170
662	1286	168
663	1288	166
664	1290	165
665	1292	163
666	1295	161
667	1297	159
668	1299	157
669	1301	155
670	1303	153
671	1305	151
672	1307	149
673	1310	147
674	1312	145
675	1314	143
676	1316	141
677	1318	140
678	1320	138
679	1322	136
680	1324	134
681	1326	132
682	1328	130
683	1330	128
684	1332	126
685	1334	124
686	1336	122
687	1338	120
688	1340	118
689	1342	116
690	1344	114
691	1346	112
692	1347	110
693	1349	108
694	1352	106
695	1354	105
696	1356	103
697	1358	101
698	1360	99
699	1362	97
700	1364	95
701	1366	93
702	1368	91
703	1370	89
704	1372	87
705	1374	85
706	1376	83
707	1378	81
708	1380	79
709	1382	77
710	1384	75
711	1387	74
712	1389	72
713	1391	70
714	1393	68
715	1395	66
716	1397	64
717	1398	62
718	1401	60
719	1402	58
720	1404	56
721	1406	54
722	1409	52
723	1411	50
724	1413	48
725	1415	46
726	1417	44
727	1419	42
728	1421	40
729	1423	38
730	1425	37
731	1427	35
732	1429	33
733	1430	31
734	1432	29
735	1434	27
736	1436	25
737	1439	23
738	1441	21
739	1443	19
740	1445	17
741	1448	15
742	1450	13
743	1451	11
744	1454	9
745	1456	7
746	1458	5
747	1460	3
748	1462	1
749	1464	0
